Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.19.19.172-172.31.2.3-60248-8080-6,172.19.19.172,60248,172.31.2.3,8080,6,22/04/2019 10:30:30 PM,1058034,9,16,944.0,6919.0,517.0,0.0,104.88888888888886,185.3209678129032,1460.0,0.0,432.4375,619.8277146379736,7431.7082437804465,23.628730267647356,44084.75,133976.37272563172,646400.0,1.0,1057776.0,132222.0,215713.5919725836,646400.0,107.0,411589.0,27439.266666666666,55763.257181545974,201969.0,1.0,0,0,0,0,180,344,8.506342896353049,15.122387371294307,0.0,1460.0,302.4230769230769,519.6400425738511,270025.77384615387,0,1,0,0,0,0,0,0,1.0,314.52,104.88888888888889,432.4375,0,0,0,0,0,0,9,944,16,6919,-1,959,3,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60248-8080-6,172.31.2.3,8080,172.19.19.172,60248,6,22/04/2019 10:30:31 PM,147,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13605.442176870749,147.0,0.0,147.0,147.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,6802.721088435374,6802.721088435374,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,959,0,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60251-8080-6,172.19.19.172,60251,172.31.2.3,8080,6,22/04/2019 10:30:30 PM,1609261,8,15,936.0,6542.0,517.0,0.0,117.0,192.5401627861426,1460.0,0.0,436.1333333333333,633.2619483579408,4646.8534314819035,14.292274528494756,73148.22727272728,134401.67322262446,407749.0,2.0,1609013.0,229859.00000000003,237336.72042760963,611536.0,767.0,1161821.0,82987.21428571426,133824.39398254978,290747.0,2.0,0,0,0,0,160,324,4.971225922954698,9.321048605540058,0.0,1460.0,311.58333333333337,531.8739566825035,282889.90579710156,0,1,0,0,0,0,0,0,1.0,325.1304347826087,117.0,436.1333333333333,0,0,0,0,0,0,8,936,15,6542,-1,980,3,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60251-8080-6,172.31.2.3,8080,172.19.19.172,60251,6,22/04/2019 10:30:31 PM,692,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2890.173410404624,692.0,0.0,692.0,692.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1445.086705202312,1445.086705202312,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,980,0,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60246-8080-6,172.19.19.172,60246,172.31.2.3,8080,6,22/04/2019 10:30:30 PM,1620287,6,12,978.0,3459.0,517.0,0.0,163.0,213.11780779653304,1460.0,0.0,288.25,560.3500732091096,2738.403751927899,11.10914300984949,95310.99999999999,178470.65237350648,437383.0,5.0,1619990.0,323998.0,319148.17407671316,741627.0,656.0,1316977.0,119725.18181818182,203565.65208738836,437383.0,5.0,0,0,0,0,120,264,3.7030476699498296,7.406095339899659,0.0,1460.0,233.5263157894737,459.5483735172383,211184.7076023392,0,1,0,0,0,0,0,0,2.0,246.5,163.0,288.25,0,0,0,0,0,0,6,978,12,3459,-1,963,3,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60246-8080-6,172.31.2.3,8080,172.19.19.172,60246,6,22/04/2019 10:30:31 PM,652,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3067.4846625766872,652.0,0.0,652.0,652.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1533.7423312883436,1533.7423312883436,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,963,0,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60247-8080-6,172.19.19.172,60247,172.31.2.3,8080,6,22/04/2019 10:30:30 PM,2278076,8,12,1575.0,3584.0,633.0,0.0,196.875,257.2316562944771,1460.0,0.0,298.66666666666663,511.1155950615785,2264.6303283999305,8.779338353944294,119898.73684210528,207177.97665100574,624743.0,20.0,2277835.0,325405.0,240743.11026140154,624743.0,601.0,1611912.0,146537.45454545453,204335.6117808952,492868.0,53.0,0,0,0,0,160,264,3.5117353415777175,5.2676030123665765,0.0,1460.0,245.66666666666666,415.32593626371727,172495.63333333333,0,1,0,0,0,0,0,0,1.0,257.95,196.875,298.6666666666667,0,0,0,0,0,0,8,1575,12,3584,-1,999,4,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60247-8080-6,172.31.2.3,8080,172.19.19.172,60247,6,22/04/2019 10:30:32 PM,335,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5970.149253731343,335.0,0.0,335.0,335.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2985.0746268656717,2985.0746268656717,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,999,0,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60263-8080-6,172.19.19.172,60263,172.31.2.3,8080,6,22/04/2019 10:30:31 PM,1438901,7,11,942.0,6046.0,517.0,0.0,134.57142857142858,202.4021221420839,1460.0,0.0,549.6363636363636,710.6341214334241,4856.484219553673,12.509547216938483,84641.23529411765,294781.379433244,1225450.0,1.0,1438188.0,239698.0,484162.2213320655,1225450.0,770.0,172574.0,17257.4,25293.382161260197,54503.0,1.0,0,0,0,0,140,244,4.864823917698299,7.644723299240184,0.0,1460.0,367.78947368421046,585.736154002178,343086.84210526315,0,1,0,0,0,0,0,0,1.0,388.22222222222223,134.57142857142858,549.6363636363636,0,0,0,0,0,0,7,942,11,6046,-1,1009,3,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60271-8080-6,172.19.19.172,60271,172.31.2.3,8080,6,22/04/2019 10:30:32 PM,425867,6,15,934.0,6298.0,517.0,0.0,155.66666666666669,210.92810781559356,1460.0,0.0,419.8666666666667,604.1983906285213,16981.82765980928,49.31116991924709,21293.350000000002,39004.71663013806,106382.0,3.0,424417.0,84883.4,90940.34027756879,226493.0,282.0,399878.0,28562.714285714283,44620.91979438235,106382.0,3.0,0,0,0,0,120,324,14.088905691213455,35.22226422803364,0.0,1460.0,328.72727272727275,523.0674345871105,273599.5411255411,0,1,0,0,0,0,0,0,2.0,344.3809523809524,155.66666666666666,419.8666666666667,0,0,0,0,0,0,6,934,15,6298,-1,986,3,0,0,0,0,0,0,0,0,0,No Label
